Orthogroup	Solanum_lycopersicum	Brassica_napus
OG0000250	Solyc12T000542.1, Solyc07T002343.1, Solyc07T002342.1, Solyc07T002344.1	CDY21758, CDX81808, CDY14615, CDY26861, CDX79261, CDX79553, CDX68016
OG0000251	Solyc01T002079.1, Solyc01T002222.1, Solyc01T002364.1, Solyc12T002250.1, Solyc10T000398.1, Solyc01T002360.1	CDX69839
OG0000251	Solyc01T002391.1	CDX96998
OG0000251	Solyc04T002872.1, Solyc04T002358.1, Solyc11T000405.1	CDY69490, CDX85735, CDY68289
OG0000252	Solyc03T000173.1, Solyc03T000174.1	CDY40949, CDY26342, CDY12897, CDY69413, CDY15015, CDY26190, CDY70790, CDY12900, CDY47575, CDY03832, CDY57377, CDY03834, CDY47580, CDY67906, CDY12902, CDY15014, CDY20988, CDY50230, CDY26339, CDY15012, CDY03831, CDY47574, CDY15013, CDY40948, CDX76754, CDY11523, CDX76992, CDY35354, CDY61830, CDX98306, CDY62412, CDY15826
OG0000253	PRAM_25906.1.p1	CDY28243, CDY66530
OG0000260	Solyc09T002271.1	CDY65635, CDY50393, CDY50394, CDY65636
OG0000260	Solyc01T003309.1	CDY27752, CDY05187
OG0000260	Solyc12T002763.1, Solyc01T001853.1, Solyc01T001851.1, Solyc12T001074.1, Solyc12T001104.1	CDX90553, CDY09727
OG0000261	Solyc08T000788.1, Solyc03T001403.1, Solyc12T002839.1, Solyc01T002536.1, Solyc01T002532.1, Solyc01T002535.1	CDY07774, CDX79752, CDX79754, CDX91381, CDX74937, CDX93353, CDY55893, CDY55894, CDX93352
OG0000263	Solyc03T000584.1, Solyc02T002028.1, Solyc02T000708.1, Solyc01T004233.1, Solyc01T004238.1, Solyc01T004236.1, Solyc01T004235.1, Solyc01T004234.1, Solyc04T002888.1, Solyc10T001849.1, Solyc01T004237.1	CDX75460, CDX69086, CDY70461, CDY63257, CDX76303, CDX82007, CDY13831, CDX68122, CDX85905, CDX73181, CDY47511, CDY39041, CDY13560
OG0000265	Solyc11T000974.1	CDY34040
OG0000265	Solyc03T002328.1, Solyc03T002283.1, Solyc03T002284.1, Solyc10T001936.1, Solyc10T001937.1, Solyc03T002282.1, Solyc09T001923.1	CDY47400, CDY63395
OG0000265	Solyc03T003119.1	CDX83012, CDY71218, CDY59136, CDY65705, CDY49182, CDX70926, CDY20345, CDY29718
OG0000275	Solyc12T002049.1, Solyc06T001410.1, Solyc03T003440.1	CDY37486, CDY51738, CDY23637, CDX97513
OG0000275	Solyc12T000294.4	CDX88594
OG0000276	Solyc02T001700.4, Solyc02T001698.1, Solyc02T001699.1	CDY70876, CDX79058, CDX94034, CDY62915
OG0000277	Solyc04T002854.1	CDX77044, CDY48178, CDY48179, CDX77047
OG0000277	Solyc07T002017.1	CDY02257, CDX89726, CDX89717, CDY02259, CDX89713, CDY26770, CDY47461, CDY30328, CDY53278, CDY71707, CDY46314, CDY24789, CDY35464
OG0000278	Solyc05T000275.1, Solyc01T000510.1, Solyc02T002386.1	CDY64407, CDY09343, CDY71146
OG0000278	Solyc05T002347.1, Solyc06T000863.1	CDY23890, CDY07598, CDX98831, CDX70161
OG0000279	Solyc05T001052.1	CDY72391, CDX79856, CDX71922, CDY60686, CDY19977, CDX85286, CDY41268, CDY10829, CDY49717, CDX92709, CDY00504
OG0000280	Solyc11T000459.1	CDX86839
OG0000280	Solyc02T001205.1	CDX81291, CDY54711, CDX73276, CDY67034
